id,hospcode,areacode,date_com,b_year,target,result,result10,result11,result12,result01,result02,result03,result04,result05,result06,result07,result08,result09
"92a705c26f22754d7462e9f742436b6f","09278","84160403","202511170539","2568",5569,13826,1525,1341,2406,1067,1553,1039,598,654,1171,992,927,553
"92a705c26f22754d7462e9f742436b6f","04197","39021001","202511160940","2568",1794,7610,690,836,562,679,588,458,560,465,655,987,454,676
"92a705c26f22754d7462e9f742436b6f","03646","34100208","202511170750","2568",2753,11570,1003,703,1152,1416,1121,925,671,681,709,1509,996,684
"92a705c26f22754d7462e9f742436b6f","06494","55050904","202511160614","2568",3050,15210,1358,1477,1210,1076,1698,1345,1107,999,1323,1272,1284,1061
"92a705c26f22754d7462e9f742436b6f","07368","64010203","202511170533","2568",8908,33937,1771,1847,3434,8465,2962,2864,2032,2337,2297,1527,1771,2630
"92a705c26f22754d7462e9f742436b6f","08523","75010905","202511160509","2568",2029,10875,988,2219,1207,1227,876,571,820,587,698,559,661,589
"92a705c26f22754d7462e9f742436b6f","05875","50061307","202511152253","2568",5297,15208,766,1442,892,2793,1557,1535,790,503,791,978,2280,881
"92a705c26f22754d7462e9f742436b6f","03850","35020506","202511161753","2568",2462,7413,282,379,266,1289,472,3010,209,276,393,77,356,405
"92a705c26f22754d7462e9f742436b6f","01860","20050601","202511171514","2568",2496,7936,612,357,1132,431,402,336,697,483,807,1335,526,818
"92a705c26f22754d7462e9f742436b6f","03169","32060401","202511161701","2568",1828,7062,502,623,582,1058,873,418,748,473,680,1105,0,0
"92a705c26f22754d7462e9f742436b6f","16000","80220301","202511152301","2568",2397,6466,252,303,2103,640,427,228,224,329,662,713,402,183
"92a705c26f22754d7462e9f742436b6f","01476","16030901","202511162058","2568",4606,16449,1760,2706,2754,1343,1126,764,676,1219,1537,1131,789,645
"92a705c26f22754d7462e9f742436b6f","03635","34090311","202511170750","2568",5182,23866,3620,2683,2365,2096,2373,2480,1853,1552,1639,1525,668,1012
"92a705c26f22754d7462e9f742436b6f","03634","34090104","202511170750","2568",5286,16846,756,1553,4265,1944,2568,1114,607,922,1207,1381,433,96
"92a705c26f22754d7462e9f742436b6f","06134","52011504","202511170654","2568",1760,10595,1189,1223,1254,741,779,954,522,1132,794,933,601,473
"92a705c26f22754d7462e9f742436b6f","05930","50110806","202511152253","2568",2395,9307,1769,531,617,456,457,617,487,548,885,1216,1015,709
"92a705c26f22754d7462e9f742436b6f","02335","25030204","202511161406","2568",2520,7240,357,1102,677,802,724,1176,205,592,259,884,245,217
"92a705c26f22754d7462e9f742436b6f","09118","82080408","202511170311","2568",789,2164,124,91,369,402,65,193,104,108,395,262,51,0
"92a705c26f22754d7462e9f742436b6f","08686","77010609","202511160704","2568",1222,3437,210,680,1058,272,85,135,107,24,285,204,194,183
"92a705c26f22754d7462e9f742436b6f","05369","46071106","202511170445","2568",3826,10259,399,229,833,1637,1893,2605,302,653,315,662,294,437
"92a705c26f22754d7462e9f742436b6f","06048","50240208","202511152253","2568",3390,10799,1865,2128,695,664,691,970,693,98,928,678,912,477
"92a705c26f22754d7462e9f742436b6f","01246","14061604","202511160638","2568",5055,15065,1746,1813,2232,1261,1039,1002,852,925,1184,1042,988,993
"92a705c26f22754d7462e9f742436b6f","05797","49050805","202511142047","2568",1270,6116,337,414,603,1013,446,364,416,374,458,751,495,445
"92a705c26f22754d7462e9f742436b6f","01684","19011307","202511161420","2568",1949,4632,313,260,291,196,235,332,193,676,1330,261,274,271
