id,hospcode,areacode,date_com,b_year,result
"2d85d6ec39840f8051854b028fa13073","03166","32051707","202311161643","2566",1
"2d85d6ec39840f8051854b028fa13073","13853","32050210","202311161643","2566",5
"2d85d6ec39840f8051854b028fa13073","13854","32050415","202311161643","2566",30
"2d85d6ec39840f8051854b028fa13073","01779","19110109","202311160757","2566",5
"2d85d6ec39840f8051854b028fa13073","04872","38040411","202311160711","2566",17
"2d85d6ec39840f8051854b028fa13073","11248","64070104","202311170558","2566",226
"2d85d6ec39840f8051854b028fa13073","03907","35080212","202311170351","2566",5
"2d85d6ec39840f8051854b028fa13073","11444","35080301","202311170351","2566",680
"2d85d6ec39840f8051854b028fa13073","10970","36020101","202311170416","2566",5
"2d85d6ec39840f8051854b028fa13073","10971","36030113","202311170416","2566",112
"2d85d6ec39840f8051854b028fa13073","04873","38040504","202311160711","2566",8
"2d85d6ec39840f8051854b028fa13073","11360","84060101","202311160440","2566",432
"2d85d6ec39840f8051854b028fa13073","01322","14130302","202311152244","2566",1
"2d85d6ec39840f8051854b028fa13073","07070","61010702","202311160829","2566",5
"2d85d6ec39840f8051854b028fa13073","04874","38040510","202311160711","2566",84
"2d85d6ec39840f8051854b028fa13073","04875","38040602","202311160711","2566",115
"2d85d6ec39840f8051854b028fa13073","04876","38040604","202311160711","2566",76
"2d85d6ec39840f8051854b028fa13073","04877","38040706","202311160711","2566",18
"2d85d6ec39840f8051854b028fa13073","04878","38040801","202311160711","2566",224
"2d85d6ec39840f8051854b028fa13073","04879","38040901","202311160711","2566",233
"2d85d6ec39840f8051854b028fa13073","04880","38050111","202311160711","2566",175
"2d85d6ec39840f8051854b028fa13073","04881","38050202","202311160711","2566",313
"2d85d6ec39840f8051854b028fa13073","11262","66070105","202311090108","2566",463
"2d85d6ec39840f8051854b028fa13073","14463","42040603","202311171034","2566",2
"2d85d6ec39840f8051854b028fa13073","14955","10370100","202311160936","2566",201
"2d85d6ec39840f8051854b028fa13073","11069","45101707","202311150609","2566",1065
"2d85d6ec39840f8051854b028fa13073","11395","90100100","202311132002","2566",16
"2d85d6ec39840f8051854b028fa13073","07679","66120114","202311090108","2566",1
"2d85d6ec39840f8051854b028fa13073","10704","39010101","202311160849","2566",1667
"2d85d6ec39840f8051854b028fa13073","10938","33130104","202311160358","2566",37
"2d85d6ec39840f8051854b028fa13073","01348","14151002","202311152244","2566",2
"2d85d6ec39840f8051854b028fa13073","10726","66010100","202311090108","2566",1188
"2d85d6ec39840f8051854b028fa13073","28811","43150111","202311160552","2566",1416
"2d85d6ec39840f8051854b028fa13073","11186","56050208","202311151309","2566",153
"2d85d6ec39840f8051854b028fa13073","10972","36040101","202311170416","2566",7
"2d85d6ec39840f8051854b028fa13073","10973","36050102","202311170416","2566",154
"2d85d6ec39840f8051854b028fa13073","01347","14150904","202311152244","2566",1
"2d85d6ec39840f8051854b028fa13073","10739","82010100","202311170153","2566",1138
